title,state,id,startDate,endDate,issn,number_of_articles,troveUrl
The Canberra Times (ACT : 1926 - 1995),ACT,11,1926-09-03,1995-12-31,01576925,2567488,https://nla.gov.au/nla.news-title11
"The Australian Jewish News (Melbourne, Vic. : 1935 - 1999)",Victoria,1685,1935-05-24,1999-12-24,NDP00187,573658,https://nla.gov.au/nla.news-title1685
Port Lincoln Times (SA : 1927 - 1986; 1992 - 2002),South Australia,370,1927-08-05,2002-12-31,13215272,494266,https://nla.gov.au/nla.news-title370
Papua New Guinea Post-Courier (Port Moresby : 1969 - 1981),International,1376,1969-06-30,1981-06-30,22087427,417472,https://nla.gov.au/nla.news-title1376
"The Australian Jewish Times (Sydney, NSW : 1953 - 1990)",New South Wales,1694,1953-10-16,1990-04-06,NDP00196,263618,https://nla.gov.au/nla.news-title1694
The Australian Women's Weekly (1933 - 1982),National,112,1933-06-10,1982-12-15,00050458,225466,https://nla.gov.au/nla.news-title112
"The Australian Jewish News (Sydney, NSW : 1990 - 2008)",New South Wales,1695,1990-04-06,2008-12-26,NDP00197,192991,https://nla.gov.au/nla.news-title1695
"Torres News (Thursday Island, Qld. : 1957-2015)",Queensland,1489,1957-03-19,2015-12-21,26518678,171389,https://nla.gov.au/nla.news-title1489
Queanbeyan Age (NSW : 1927 - 1971),New South Wales,88,1927-07-26,1971-12-23,13208381,159591,https://nla.gov.au/nla.news-title88
"Dutch Australian Weekly (Sydney, NSW : 1951 - 1993)",New South Wales,1044,1951-10-05,1993-07-19,22051902,159156,https://nla.gov.au/nla.news-title1044
"Times (Victor Harbor, SA : 1987 - 1999)",South Australia,856,1987-01-07,1999-12-31,22040722,143726,https://nla.gov.au/nla.news-title856
"The Argus (Melbourne, Vic. : 1848 - 1957)",Victoria,13,1848-09-15,1957-01-19,18339719,140299,https://nla.gov.au/nla.news-title13
Victor Harbour Times (SA : 1932 - 1986),South Australia,832,1932-04-15,1986-12-31,22038213,126881,https://nla.gov.au/nla.news-title832
"Hills and Valley Messenger (Port Adelaide, SA : 1984 - 2011)",South Australia,1891,1984-06-06,2011-12-21,NDP00390,123264,https://nla.gov.au/nla.news-title1891
"Tribune (Sydney, NSW : 1939 - 1991)",New South Wales,1002,1939-09-01,1991-04-03,22048790,103006,https://nla.gov.au/nla.news-title1002
"King Island News (Currie, King Island : 1912 - 1986",Tasmania,1078,1912-08-09,1986-08-13,22052569,98639,https://nla.gov.au/nla.news-title1078
Royal Australian Navy News (National : 1958 - 2021),National,1804,1958-07-18,2021-12-09,NDP00303,95727,https://nla.gov.au/nla.news-title1804
"Le Courrier Australien (Sydney, NSW : 1892 - 2011)",New South Wales,829,1892-04-30,2011-04-01,22038264,94500,https://nla.gov.au/nla.news-title829
"The Australian Jewish Herald (Melbourne, Vic. : 1935 - 1968)",Victoria,1696,1935-05-23,1968-08-02,NDP00198,92553,https://nla.gov.au/nla.news-title1696
"The Biz (Fairfield, NSW : 1928 - 1972)",New South Wales,256,1928-11-03,1972-06-15,18397352,90068,https://nla.gov.au/nla.news-title256
